symbol,name,price_usd,change_abs,change_pct,market_cap_usd,volume_24h_usd,volume_since0_usd,total_volume_all_24h,circulating_supply,vol_ratio,price_usd_log,market_cap_log,volume_24h_log,node_id,degree_centrality,pagerank
FWT-USD,Freeway Token USD,0.002814,0.000186,0.0707,28136000.0,26705.0,26705.0,26705.0,10000000000.0,0.0009491398919533693,0.0028100481140022147,17.152560488677608,10.192643538243908,560,0.0016388069485414618,0.0002810256759405734
PSG-USD,Paris Saint-Germain Fan Token USD,5.7757,-0.4783,-0.0765,27968000.0,34180000.0,34180000.0,34180000.0,4842000.0,1.2221109839816933,1.9133426824617246,17.146571593192547,17.347151264908593,561,0.0019665683382497543,0.00029575902779993384
GMM-USD,Gamium USD,0.001333,-2.4e-05,-0.0176,27729000.0,750595.0,750595.0,750595.0,20801000000.0,0.027068953081611308,0.0013321123442425196,17.13798939097835,13.52862283659878,562,0.0016388069485414618,0.0002538859091802044
FIRO-USD,Firo USD,2.2422,0.0647,0.0297,27443000.0,8552000.0,8552000.0,8552000.0,12239000.0,0.3116277374922567,1.1762521117253357,17.12762172073116,15.961675848618723,563,0.0022943297279580466,0.0003203934965192136
PIVX-USD,PIVX USD,0.377589,0.006867,0.0185,27376000.0,1237000.0,1237000.0,1237000.0,72502000.0,0.04518556399766219,0.3203348697581722,17.125177311642457,14.028200459781736,564,0.0022943297279580466,0.0003552498725143086
ADX-USD,Ambire AdEx USD,0.191337,0.00422,0.0226,27276000.0,5167000.0,5167000.0,5167000.0,142558000.0,0.18943393459451532,0.17507620584838576,17.121517789284947,15.457803000805203,565,0.0029498525073746312,0.0004161406531927427
SPS-USD,Splintershards USD,0.028354,-0.000628,-0.0217,27237000.0,112038.0,112038.0,112038.0,960582000.0,0.004113448617689173,0.027959465732027105,17.120086937736765,11.626602303950422,566,0.0022943297279580466,0.0003162122314672874
DEXT-USD,DEXTools USD,0.292131,-0.007818,-0.026099999999999998,27223000.0,373614.0,373614.0,373614.0,93186000.0,0.013724203798258824,0.25629279340932265,17.119572798926843,12.830981134423773,567,0.0022943297279580466,0.00035234850755287933
KIN-USD,Kin USD,1.2e-05,0.0,-0.0052,27102000.0,876156.0,876156.0,876156.0,2207000000000.0,0.03232809386761125,1.1999928000575994e-05,17.115118120762443,13.683300577604165,568,0.0022943297279580466,0.0003473244008899981
LAZIO-USD,S.S. Lazio Fan Token USD,3.1387,-0.274,-0.0803,26993000.0,115303000.0,115303000.0,115303000.0,8600000.0,4.271588930463453,1.4203817288640304,17.111088168142494,18.56307401265426,569,0.002622091117666339,0.0003980925306651743
AIOZ-USD,AIOZ Network USD,0.028388,-0.000332,-0.0115,26816000.0,357425.0,357425.0,357425.0,944618000.0,0.01332879624105012,0.027992527730083348,17.104509319555117,12.786683626683198,570,0.0016388069485414618,0.0002611271459396856
UNFI-USD,Unifi Protocol DAO USD,5.4133,0.4334,0.087,26771000.0,49421000.0,49421000.0,49421000.0,4945000.0,1.8460647715811886,1.8583739590507462,17.10282980740111,17.715886013277117,571,0.0016388069485414618,0.000254478617383593
KAI-USD,KardiaChain USD,0.005654,0.000214,0.0394,26716000.0,782114.0,782114.0,782114.0,4725000000.0,0.02927511603533463,0.005638076136155224,17.100773232258415,13.56975706753889,572,0.0029498525073746312,0.00042070577647917697
CON-USD,CONUN USD,0.009214,-9.9e-05,-0.0106,26697000.0,100267.0,100267.0,100267.0,2897000000.0,0.003755740345357156,0.009171810062702885,17.1000617949645,11.515601880173637,573,0.0032776138970829235,0.000432171141202787
H2O19091-USD,H2O DAO USD,0.11791,0.000351,0.003,26537000.0,259678.0,259678.0,259678.0,225062000.0,0.009785507027923277,0.11146087059808213,17.09405058123702,12.467201531847596,574,0.003605375286791216,0.0004932798453288108
ALPHA16794-USD,Alpha Coin USD,0.005286,-0.000162,-0.0297,26304000.0,24727.0,24727.0,24727.0,4976000000.0,0.0009400471411192214,0.005272078141080344,17.085231614855076,10.115691483811952,575,0.0016388069485414618,0.0002593701330820014
TIME-USD,Chrono.tech USD,36.79,-0.71,-0.0189,26122000.0,430897.0,430897.0,430897.0,710112.0,0.016495559298675445,3.6320445173613978,17.07828846740151,12.973626682145026,576,0.0022943297279580466,0.0003301353551674577
MIN12787-USD,Minswap USD,0.037104,-0.0002,-0.0054,26103000.0,47225.0,47225.0,47225.0,703496000.0,0.0018091790215684022,0.03643221351480132,17.077560846526044,10.762699867370506,577,0.0019665683382497543,0.000295300299586404
AE-USD,Æternity USD,0.071018,-0.001458,-0.020099999999999996,26057000.0,188918.0,188918.0,188918.0,366901000.0,0.007250182292666078,0.06860959804706941,17.075797042455424,12.149073630750227,578,0.002622091117666339,0.0003881957747221399
HARD-USD,Kava Lend USD,0.190673,0.008308,0.0456,25701000.0,7785000.0,7785000.0,7785000.0,134792000.0,0.30290650169254113,0.17451869348093246,17.06204049852328,15.86770949170238,579,0.0016388069485414618,0.0002482826110749547
FIO-USD,FIO Protocol USD,0.034105,-0.000744,-0.0213,25670000.0,3028000.0,3028000.0,3028000.0,752678000.0,0.11795870666147254,0.03353631831943176,17.060833591803302,14.923413223790412,580,0.0032776138970829235,0.00045712982854503403
